Size,Threads,Generations,Calculation Time, Total Time,"Linear Section 
Time",Speedup,Effeciency
40000 x 40000,1,100,6280.993896,6371.967384,,1,1
40000 x 40000,2,100,3140.496948,3185.983692,45.486744,2,1
40000 x 40000,4,100,1593.467457,1643.001577,49.53412,3.941714572,0.985428643
40000 x 40000,8,100,912.530258,964.294014,51.763756,6.883052744,0.860381593
40000 x 40000,16,100,396.712857,450.027917,53.31506,15.83259475,0.989537172
40000 x 40000,32,100,221.332619,271.678787,50.346168,28.37807606,0.886814877
40000 x 40000,48,100,193.229568,238.291125,45.061557,32.50534564,0.677194701
40000 x 40000,1,200,12912.64907,13002.88209,,1,1
40000 x 40000,2,200,6456.324535,6501.441045,45.11651,2,1
40000 x 40000,4,200,3220.873921,3275.575102,54.701181,4.00905139,1.002262848
40000 x 40000,8,200,1899.109259,2127.177969,228.06871,6.799318685,0.849914836
40000 x 40000,16,200,1182.481002,1615.414294,432.933292,10.91996324,0.682497702
40000 x 40000,32,200,562.349446,623.298806,60.94936,22.96196637,0.717561449
40000 x 40000,48,200,388.473601,438.467808,49.994207,33.2394506,0.692488554
40000 x 40000,1,400,25226.0575,25311.57882,,1,1
40000 x 40000,2,400,12613.02875,12655.78941,42.76066,2,1
40000 x 40000,4,400,6230.974118,6277.966737,46.992619,4.048493385,1.012123346
40000 x 40000,8,400,3101.992182,3146.892614,44.900432,8.132211823,1.016526478
40000 x 40000,16,400,1617.836021,1663.043314,45.207293,15.59246869,0.974529293
40000 x 40000,32,400,1128.234264,1187.745869,59.511605,22.35888264,0.698715082
40000 x 40000,48,400,1012.830544,1078.644441,65.813897,24.90649363,0.518885284
